1.32Cr-2.71Cr
1.05Cr-2.55Cr
4.42Cr-8.17Cr
1.14Cr-3.46Cr
2.10Cr-16.23Cr
99Lac-3.46Cr
2.02Cr-3.19Cr
3.35Cr-5.50Cr
89.5Lac-2.10Cr
95Lac-3.25Cr
